groupId,count,score,text
1744844920000000002,2452,0.00,duration=* policy_id=* service=* proto=* src zone=DMZ dst zone=Trust action=Deny sent=* rcvd=* src=* dst=192.168.32.10 src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990770000000029,2443,4.43,duration=* policy_id=* service=udp/port:* proto=* src zone=DMZ dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990625000000016,2296,4.55,duration=* policy_id=* service=NETBIOS (*) proto=* src zone=Trust dst zone=DMZ action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990730000000027,2274,4.52,duration=* policy_id=* service=dns proto=* src zone=Untrust dst zone=Trust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745722801000000001,1890,0.00,duration=* policy_id=* service=icmp proto=* src zone=Trust dst zone=DMZ action=Deny sent=* rcvd=* src=192.168.1.20 dst=* icmp type=* icmp *=* session_id=* reason=Traffic Denied
1739990835000000030,1425,4.38,duration=* policy_id=* service=* proto=* src zone=Untrust dst zone=Trust action=Deny sent=* rcvd=* src=* dst=192.168.32.18 src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990835000000031,1425,4.38,duration=* policy_id=* service=* proto=* src zone=Untrust dst zone=Trust action=Deny sent=* rcvd=* src=* dst=192.168.32.8 src_port=* dst_port=* session_id=* reason=Traffic Denied
1745775673000000001,1386,0.00,IKE * 189.115.47.130: Received a notification message for * NOTIFY_MSG_INVALID_SYNTAX.
1745806236000000001,1296,4.54,duration=* policy_id=* service=udp/port:* proto=* src zone=DMZ dst zone=Untrust action=Deny sent=* rcvd=* src=192.168.64.7 dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745311038000000007,1134,4.54,duration=* policy_id=* service=http proto=* src zone=DMZ dst zone=Untrust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1742905313000000003,1081,4.42,duration=* policy_id=* service=Network Time proto=* src zone=DMZ dst zone=Untrust action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1745768434000000001,1070,0.00,IKE202.214.113.11 210.184.113.40 Phase *: Initiated negotiations * main mode.
1744945202000000001,948,0.00,duration=* policy_id=* service=icmp proto=* src zone=Trust dst zone=DMZ action=Deny sent=* rcvd=* src=192.168.1.20 dst=* icmp type=* icmp code=* session_id=* reason=Traffic Denied
