groupId,count,score,text
1745188839000000002,9982,5.02,duration=* policy_id=* service=icmp proto=* src zone=Private dst zone=* action=Permit sent=* rcvd=* src=192.168.32.18 dst=* icmp type=* icmp *=* src-xlated ip=* dst-xlated ip=* session_id=* reason=Close - RESP
1739990627000000021,9458,4.48,duration=* policy_id=* service=tcp/port:* proto=* src zone=* dst zone=Trust action=Permit sent=* rcvd=* src=* dst=192.168.48.80 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.48.80 port=* session_id=* reason=Close - TCP FIN
1745606212000000001,8979,4.60,duration=* policy_id=* service=tcp/port:* proto=* src zone=* dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.64.50 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.64.50 port=* session_id=* reason=Close - TCP RST
1740729925000000001,7979,4.75,duration=* policy_id=* service=http proto=* src zone=Untrust dst zone=Private action=Deny sent=* rcvd=* src=* dst=* src_port=* dst_port=* session_id=* reason=Traffic Denied
1739990653000000033,7409,4.67,duration=* policy_id=* service=* * proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.33 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.33 port=* dst-xlated ip=* port=* session_id=* reason=Close - AGE OUT
1739990643000000027,6974,4.45,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=* action=Permit sent=* rcvd=* src=192.168.48.52 dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1739990627000000022,6972,4.46,duration=* policy_id=* service=tcp/port:* proto=* src zone=Trust dst zone=* action=Permit sent=* rcvd=* src=192.168.48.51 dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
1745452803000000001,6910,4.56,duration=* policy_id=* service=* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=192.168.48.33 dst=* src_port=* dst_port=* src-xlated ip=192.168.48.33 port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP RST
1743342742000000001,6765,4.76,duration=* policy_id=* service=*/port:* proto=* src zone=Trust dst zone=Private action=Permit sent=* rcvd=* src=* dst=192.168.14.235 src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=192.168.14.235 port=* session_id=* reason=Close - AGE OUT
1739990707000000043,5375,4.47,duration=* policy_id=* service=tcp/port:* proto=* src zone=Untrust dst zone=Trust action=Permit sent=* rcvd=* src=* dst=* src_port=* dst_port=* src-xlated ip=* port=* dst-xlated ip=* port=* session_id=* reason=Close - TCP FIN
