groupId,lastUpdate,count,score,text
1739990783000000058,2025-04-29 17:40:04,51892,4.463,"Apr 29 17:40:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:01"" duration=3 policy_id=147 service=http proto=6 src zone=Untrust dst zone=Trust action=Permit sent=806 rcvd=1516 src=192.168.47.12 dst=192.168.48.5 src_port=65115 dst_port=80 src-xlated ip=192.168.47.12 port=65115 dst-xlated ip=192.168.48.5 port=80 session_id=47793 reason=Close - TCP FIN"
1739990605000000008,2025-04-29 17:40:04,42833,4.369,"Apr 29 17:40:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:40:00"" duration=4 policy_id=327 service=tcp/port:62257 proto=6 src zone=Trust dst zone=Private action=Permit sent=218 rcvd=391 src=192.168.48.84 dst=157.7.188.171 src_port=42554 dst_port=62257 src-xlated ip=192.168.48.84 port=42554 dst-xlated ip=157.7.188.171 port=62257 session_id=45897 reason=Close - TCP FIN"
1739990603000000006,2025-04-29 17:40:04,32794,4.556,"Apr 29 17:40:04 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:43"" duration=21 policy_id=19 service=http proto=6 src zone=Trust dst zone=Private action=Permit sent=210 rcvd=0 src=192.168.48.28 dst=23.193.119.160 src_port=51338 dst_port=80 src-xlated ip=192.168.48.28 port=51338 dst-xlated ip=23.193.119.160 port=80 session_id=47949 reason=Close - AGE OUT"
1739990679000000038,2025-04-29 17:39:43,31026,4.705,"Apr 29 17:39:43 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:42"" duration=0 policy_id=12 service=NETBIOS (NS) proto=17 src zone=Trust dst zone=Private action=Deny sent=0 rcvd=76 src=192.168.48.132 dst=192.168.1.253 src_port=137 dst_port=137 session_id=0 reason=Traffic Denied"
1739994295000000026,2025-04-29 17:39:48,29140,4.502,"Apr 29 17:39:48 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:46"" duration=2 policy_id=233 service=https proto=6 src zone=Private dst zone=Trust action=Permit sent=3723 rcvd=4894 src=192.168.8.47 dst=192.168.48.1 src_port=60760 dst_port=443 src-xlated ip=192.168.8.47 port=60760 dst-xlated ip=192.168.48.1 port=443 session_id=47401 reason=Close - TCP RST"
1745793609000000001,2025-04-29 17:36:42,27968,5.021,"Apr 29 17:36:42 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:36:37"" duration=5 policy_id=331 service=icmp proto=1 src zone=Trust dst zone=Private action=Permit sent=64 rcvd=64 src=192.168.48.33 dst=192.168.14.246 icmp type=0 icmp code=0 src-xlated ip=192.168.48.33 dst-xlated ip=192.168.14.246 session_id=47997 reason=Close - RESP"
1739990601000000002,2025-04-29 17:39:18,27536,4.848,"Apr 29 17:39:18 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:14"" duration=4 policy_id=300 service=icmp proto=1 src zone=Private dst zone=Trust action=Permit sent=102 rcvd=102 src=192.168.32.18 dst=192.168.48.132 icmp type=0 icmp code=0 src-xlated ip=192.168.32.18 dst-xlated ip=192.168.48.132 session_id=46535 reason=Close - RESP"
1745361623000000001,2025-04-29 17:39:30,27216,4.696,"Apr 29 17:39:30 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:30"" duration=0 policy_id=12 service=udp/port:3478 proto=17 src zone=Trust dst zone=Private action=Deny sent=0 rcvd=28 src=192.168.48.41 dst=3.115.201.182 src_port=58255 dst_port=3478 session_id=0 reason=Traffic Denied"
1739994295000000027,2025-04-29 17:39:50,25058,4.448,"Apr 29 17:39:50 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:41"" duration=9 policy_id=233 service=https proto=6 src zone=Private dst zone=Trust action=Permit sent=10896 rcvd=14504 src=192.168.8.47 dst=192.168.48.1 src_port=60757 dst_port=443 src-xlated ip=192.168.8.47 port=60757 dst-xlated ip=192.168.48.1 port=443 session_id=47963 reason=Close - TCP FIN"
1739990679000000037,2025-04-29 17:39:44,16392,4.421,"Apr 29 17:39:44 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:42"" duration=2 policy_id=259 service=tcp/port:9001 proto=6 src zone=Private dst zone=Trust action=Permit sent=17566 rcvd=514633 src=192.168.1.9 dst=192.168.48.85 src_port=40878 dst_port=9001 src-xlated ip=192.168.1.9 port=40878 dst-xlated ip=192.168.48.85 port=9001 session_id=46176 reason=Close - TCP RST"
1745795081000000001,2025-04-29 17:40:02,15536,4.773,"Apr 29 17:40:02 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:56"" duration=6 policy_id=331 service=icmp proto=1 src zone=Trust dst zone=Private action=Permit sent=64 rcvd=64 src=192.168.48.33 dst=192.168.14.245 icmp type=0 icmp code=0 src-xlated ip=192.168.48.33 dst-xlated ip=192.168.14.245 session_id=46458 reason=Close - RESP"
1739990645000000031,2025-04-29 17:39:08,15216,4.448,"Apr 29 17:39:08 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:36:22"" duration=166 policy_id=260 service=https proto=6 src zone=Trust dst zone=Private action=Permit sent=2825 rcvd=4709 src=192.168.48.182 dst=192.168.88.177 src_port=36474 dst_port=443 src-xlated ip=192.168.48.182 port=36474 dst-xlated ip=192.168.88.177 port=443 session_id=45899 reason=Close - TCP FIN"
1745188885000000003,2025-04-29 17:37:00,11312,4.906,"Apr 29 17:37:00 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:36:54"" duration=6 policy_id=328 service=icmp proto=1 src zone=Trust dst zone=Private action=Permit sent=64 rcvd=64 src=192.168.48.134 dst=192.168.14.235 icmp type=0 icmp code=0 src-xlated ip=192.168.48.134 dst-xlated ip=192.168.14.235 session_id=46055 reason=Close - RESP"
1745188839000000002,2025-04-29 17:37:42,9982,5.020,"Apr 29 17:37:42 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:37:38"" duration=4 policy_id=159 service=icmp proto=1 src zone=Private dst zone=BICS-VPN action=Permit sent=102 rcvd=102 src=192.168.32.18 dst=203.115.242.27 icmp type=0 icmp code=0 src-xlated ip=202.173.5.240 dst-xlated ip=203.115.242.27 session_id=45580 reason=Close - RESP"
1739990627000000021,2025-04-29 17:38:34,9458,4.483,"Apr 29 17:38:34 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:35:46"" duration=168 policy_id=265 service=tcp/port:57888 proto=6 src zone=Untrust dst zone=Trust action=Permit sent=1912 rcvd=2376 src=192.168.47.11 dst=192.168.48.80 src_port=56140 dst_port=57888 src-xlated ip=192.168.47.11 port=56140 dst-xlated ip=192.168.48.80 port=57888 session_id=46295 reason=Close - TCP FIN"
1745606212000000001,2025-04-29 17:39:16,8979,4.598,"Apr 29 17:39:16 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:39:12"" duration=4 policy_id=70 service=tcp/port:8080 proto=6 src zone=Untrust dst zone=Private action=Permit sent=210 rcvd=192 src=192.168.47.112 dst=192.168.64.50 src_port=59627 dst_port=8080 src-xlated ip=192.168.47.112 port=59627 dst-xlated ip=192.168.64.50 port=8080 session_id=45867 reason=Close - TCP RST"
1740729925000000001,2025-04-29 17:36:41,7979,4.751,"Apr 29 17:36:41 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:36:40"" duration=0 policy_id=14 service=http proto=6 src zone=Untrust dst zone=Private action=Deny sent=0 rcvd=32 src=192.168.47.11 dst=192.168.1.1 src_port=56149 dst_port=80 session_id=0 reason=Traffic Denied"
1739990653000000033,2025-04-29 17:39:56,7409,4.670,"Apr 29 17:39:56 imtfw001 IMTFW001: NetScreen device_id=IMTFW001  [Root]system-notification-00257(traffic): start_time=""2025-04-29 17:38:57"" duration=59 policy_id=19 service=Network Time proto=17 src zone=Trust dst zone=Private action=Permit sent=94 rcvd=94 src=192.168.48.33 dst=192.168.88.1 src_port=123 dst_port=123 src-xlated ip=192.168.48.33 port=123 dst-xlated ip=192.168.88.1 port=123 session_id=46255 reason=Close - AGE OUT"
