itemid,clock,value
1740012874000000008,1745737200,122
1740012874000000008,1745787600,83
1740012874000000008,1745798400,224
1740012874000000008,1745805600,155
1740012874000000008,1745820000,4
1740012874000000008,1745834400,78
1740012874000000008,1745838000,60
1740012874000000008,1745870400,718
1740012874000000008,1745910000,185
1745194775000000001,1745715600,2
1745194775000000001,1745719200,2
1745194775000000001,1745726400,1
1745194775000000001,1745730000,2
1745194775000000001,1745766000,2
1745194775000000001,1745798400,8
1745194775000000001,1745802000,11
1745194775000000001,1745805600,47
1745194775000000001,1745809200,24
1745194775000000001,1745812800,10
1745194775000000001,1745816400,2
1745194775000000001,1745888400,1
1745194775000000001,1745899200,54
1745194775000000001,1745902800,46
1745194775000000001,1745906400,4
1745194775000000001,1745910000,11
1745194775000000001,1745913600,10
1739991745000000001,1745694000,1
1739991745000000001,1745701200,1
1739991745000000001,1745708400,3
1739991745000000001,1745712000,2
1739991745000000001,1745715600,1
1739991745000000001,1745722800,1
1739991745000000001,1745726400,6
1739991745000000001,1745730000,3
1739991745000000001,1745733600,3
1739991745000000001,1745737200,3
1739991745000000001,1745740800,1
1739991745000000001,1745744400,2
1739991745000000001,1745748000,1
1739991745000000001,1745751600,2
1739991745000000001,1745755200,1
1739991745000000001,1745758800,1
1739991745000000001,1745762400,3
1739991745000000001,1745766000,2
1739991745000000001,1745769600,1
1739991745000000001,1745791200,11
1739991745000000001,1745794800,12
1739991745000000001,1745798400,16
1739991745000000001,1745802000,5
1739991745000000001,1745805600,5
1739991745000000001,1745809200,7
1739991745000000001,1745812800,13
1739991745000000001,1745816400,4
1739991745000000001,1745820000,10
1739991745000000001,1745823600,7
1739991745000000001,1745827200,4
1739991745000000001,1745830800,7
1739991745000000001,1745834400,3
1739991745000000001,1745838000,3
1739991745000000001,1745841600,7
1739991745000000001,1745848800,2
1739991745000000001,1745856000,2
1739991745000000001,1745870400,1
1739991745000000001,1745874000,3
1739991745000000001,1745877600,2
1739991745000000001,1745881200,2
1739991745000000001,1745884800,6
1739991745000000001,1745888400,3
1739991745000000001,1745892000,1
1739991745000000001,1745899200,9
1739991745000000001,1745902800,5
1739991745000000001,1745906400,3
1739991745000000001,1745910000,8
1739991745000000001,1745913600,1
1739991747000000003,1745694000,1
1739991747000000003,1745701200,1
1739991747000000003,1745708400,3
1739991747000000003,1745712000,2
1739991747000000003,1745715600,1
1739991747000000003,1745719200,1
1739991747000000003,1745722800,1
1739991747000000003,1745726400,3
1739991747000000003,1745730000,3
1739991747000000003,1745733600,3
1739991747000000003,1745737200,4
1739991747000000003,1745740800,1
1739991747000000003,1745744400,2
1739991747000000003,1745748000,2
1739991747000000003,1745751600,2
1739991747000000003,1745755200,1
1739991747000000003,1745758800,1
1739991747000000003,1745762400,3
1739991747000000003,1745766000,2
1739991747000000003,1745769600,1
1739991747000000003,1745791200,10
1739991747000000003,1745794800,17
1739991747000000003,1745798400,15
1739991747000000003,1745802000,5
1739991747000000003,1745805600,5
1739991747000000003,1745809200,6
1739991747000000003,1745812800,11
1739991747000000003,1745816400,4
1739991747000000003,1745820000,7
1739991747000000003,1745823600,6
1739991747000000003,1745827200,4
1739991747000000003,1745830800,8
1739991747000000003,1745834400,3
1739991747000000003,1745838000,3
1739991747000000003,1745841600,6
1739991747000000003,1745848800,2
1739991747000000003,1745856000,2
1739991747000000003,1745870400,1
1739991747000000003,1745874000,3
1739991747000000003,1745877600,2
1739991747000000003,1745881200,2
1739991747000000003,1745884800,5
1739991747000000003,1745888400,3
1739991747000000003,1745892000,1
1739991747000000003,1745899200,8
1739991747000000003,1745902800,5
1739991747000000003,1745906400,3
1739991747000000003,1745910000,8
1739991747000000003,1745913600,1
1739991745000000002,1745694000,1
1739991745000000002,1745701200,1
1739991745000000002,1745708400,3
1739991745000000002,1745712000,2
1739991745000000002,1745715600,1
1739991745000000002,1745722800,1
1739991745000000002,1745726400,3
1739991745000000002,1745730000,3
1739991745000000002,1745733600,3
1739991745000000002,1745737200,3
1739991745000000002,1745740800,1
1739991745000000002,1745744400,2
1739991745000000002,1745748000,1
1739991745000000002,1745751600,1
1739991745000000002,1745755200,1
1739991745000000002,1745758800,1
1739991745000000002,1745762400,3
1739991745000000002,1745766000,2
1739991745000000002,1745769600,1
1739991745000000002,1745791200,10
1739991745000000002,1745794800,12
1739991745000000002,1745798400,15
1739991745000000002,1745802000,5
1739991745000000002,1745805600,5
1739991745000000002,1745809200,6
1739991745000000002,1745812800,11
1739991745000000002,1745816400,4
1739991745000000002,1745820000,7
1739991745000000002,1745823600,6
1739991745000000002,1745827200,4
1739991745000000002,1745830800,7
1739991745000000002,1745834400,3
1739991745000000002,1745838000,3
1739991745000000002,1745841600,5
1739991745000000002,1745848800,2
1739991745000000002,1745856000,2
1739991745000000002,1745870400,1
1739991745000000002,1745874000,3
1739991745000000002,1745877600,2
1739991745000000002,1745881200,2
1739991745000000002,1745884800,5
1739991745000000002,1745888400,3
1739991745000000002,1745892000,1
1739991745000000002,1745899200,8
1739991745000000002,1745902800,5
1739991745000000002,1745906400,3
1739991745000000002,1745910000,8
1739991745000000002,1745913600,1
1739992535000000005,1745694000,1
1739992535000000005,1745701200,1
1739992535000000005,1745715600,1
1739992535000000005,1745726400,1
1739992535000000005,1745730000,3
1739992535000000005,1745733600,5
1739992535000000005,1745737200,1
1739992535000000005,1745740800,3
1739992535000000005,1745744400,2
1739992535000000005,1745748000,4
1739992535000000005,1745755200,1
1739992535000000005,1745758800,2
1739992535000000005,1745762400,4
1739992535000000005,1745766000,1
1739992535000000005,1745769600,2
1739992535000000005,1745791200,8
1739992535000000005,1745798400,6
1739992535000000005,1745802000,3
1739992535000000005,1745805600,2
1739992535000000005,1745809200,5
1739992535000000005,1745812800,10
1739992535000000005,1745816400,4
1739992535000000005,1745820000,6
1739992535000000005,1745823600,4
1739992535000000005,1745827200,2
1739992535000000005,1745830800,20
1739992535000000005,1745834400,7
1739992535000000005,1745838000,3
1739992535000000005,1745841600,7
1739992535000000005,1745848800,7
1739992535000000005,1745856000,2
1739992535000000005,1745870400,3
1739992535000000005,1745874000,4
1739992535000000005,1745884800,1
1739992535000000005,1745888400,1
1739992535000000005,1745892000,2
1739992535000000005,1745899200,2
1739992535000000005,1745902800,5
1739992535000000005,1745906400,4
1739992535000000005,1745910000,3
1739992535000000005,1745913600,1
1739991927000000004,1745694000,1
1739991927000000004,1745708400,3
1739991927000000004,1745712000,1
1739991927000000004,1745715600,2
1739991927000000004,1745719200,1
1739991927000000004,1745722800,1
1739991927000000004,1745726400,1
1739991927000000004,1745730000,2
1739991927000000004,1745733600,2
1739991927000000004,1745737200,3
1739991927000000004,1745744400,1
1739991927000000004,1745748000,2
1739991927000000004,1745751600,2
1739991927000000004,1745758800,2
1739991927000000004,1745762400,2
1739991927000000004,1745766000,2
1739991927000000004,1745791200,9
1739991927000000004,1745794800,13
1739991927000000004,1745798400,13
1739991927000000004,1745802000,5
1739991927000000004,1745805600,4
1739991927000000004,1745809200,4
1739991927000000004,1745812800,7
1739991927000000004,1745816400,3
1739991927000000004,1745820000,4
1739991927000000004,1745823600,7
1739991927000000004,1745827200,3
1739991927000000004,1745830800,4
1739991927000000004,1745834400,3
1739991927000000004,1745838000,3
1739991927000000004,1745841600,4
1739991927000000004,1745845200,1
1739991927000000004,1745856000,2
1739991927000000004,1745870400,1
1739991927000000004,1745874000,3
1739991927000000004,1745877600,1
1739991927000000004,1745881200,3
1739991927000000004,1745884800,4
1739991927000000004,1745888400,3
1739991927000000004,1745892000,1
1739991927000000004,1745899200,6
1739991927000000004,1745902800,3
1739991927000000004,1745906400,1
1739991927000000004,1745910000,6
1739991927000000004,1745913600,1
1740002980000000001,1745694000,1
1740002980000000001,1745701200,1
1740002980000000001,1745708400,1
1740002980000000001,1745726400,1
1740002980000000001,1745730000,3
1740002980000000001,1745733600,2
1740002980000000001,1745737200,2
1740002980000000001,1745740800,1
1740002980000000001,1745744400,1
1740002980000000001,1745758800,1
1740002980000000001,1745762400,2
1740002980000000001,1745766000,2
1740002980000000001,1745791200,4
1740002980000000001,1745794800,7
1740002980000000001,1745798400,6
1740002980000000001,1745802000,5
1740002980000000001,1745805600,3
1740002980000000001,1745809200,5
1740002980000000001,1745812800,6
1740002980000000001,1745816400,3
1740002980000000001,1745820000,3
1740002980000000001,1745823600,1
1740002980000000001,1745827200,1
1740002980000000001,1745830800,5
1740002980000000001,1745838000,1
1740002980000000001,1745841600,3
1740002980000000001,1745856000,2
1740002980000000001,1745870400,1
1740002980000000001,1745874000,3
1740002980000000001,1745881200,1
1740002980000000001,1745884800,1
1740002980000000001,1745888400,1
1740002980000000001,1745899200,4
1740002980000000001,1745902800,3
1740002980000000001,1745906400,1
1740002980000000001,1745910000,5
1740009814000000001,1745715600,1
1740009814000000001,1745719200,1
1740009814000000001,1745737200,1
1740009814000000001,1745748000,1
1740009814000000001,1745751600,1
1740009814000000001,1745758800,1
1740009814000000001,1745766000,1
1740009814000000001,1745791200,3
1740009814000000001,1745798400,2
1740009814000000001,1745809200,1
1740009814000000001,1745830800,1
1740009814000000001,1745841600,1
1740009814000000001,1745852400,1
1740009814000000001,1745870400,1
1740009814000000001,1745874000,1
1740009814000000001,1745877600,1
1740009814000000001,1745892000,1
1740009814000000001,1745895600,1
1740009814000000001,1745910000,1
1745301433000000001,1745694000,1
1745301433000000001,1745701200,1
1745301433000000001,1745730000,2
1745301433000000001,1745733600,1
1745301433000000001,1745737200,1
1745301433000000001,1745740800,1
1745301433000000001,1745744400,1
1745301433000000001,1745766000,1
1745301433000000001,1745791200,4
1745301433000000001,1745805600,1
1745301433000000001,1745812800,1
1745301433000000001,1745838000,1
1745301433000000001,1745841600,1
1745301433000000001,1745870400,1
1745301433000000001,1745874000,3
1745660807000000001,1745719200,1
1745660807000000001,1745737200,1
1745660807000000001,1745748000,1
1745660807000000001,1745751600,1
1745660807000000001,1745794800,4
1745660807000000001,1745830800,1
1745660807000000001,1745841600,1
1745660807000000002,1745719200,1
1745660807000000002,1745737200,1
1745660807000000002,1745748000,1
1745660807000000002,1745751600,1
1745660807000000002,1745794800,1
1745660807000000002,1745830800,1
1745660807000000002,1745841600,1
1745675631000000001,1745722800,1
1745675631000000001,1745740800,1
1745675631000000001,1745748000,1
1745675631000000001,1745755200,1
1745675631000000001,1745827200,1
1745675631000000001,1745838000,1
1745675631000000001,1745852400,1
1745146210000000001,1745701200,1
1745146210000000001,1745805600,1
1745146210000000001,1745820000,1
1745146210000000001,1745830800,1
1745146210000000001,1745888400,1
1745146210000000001,1745899200,1
1745550310000000001,1745794800,3
1745215077000000002,1745823600,1
1745215077000000002,1745830800,1
1745215077000000003,1745823600,1
1745215077000000003,1745830800,1
1745535609000000001,1745794800,1
1745535609000000002,1745794800,1
